[352.222919464] 2017-11-09 14:00:55,331 - INFO - launcher: Starting sanity checks
[354.228258133] 2017-11-09 14:00:55,333 - INFO - launcher: Checking for python 3.5+
[356.233835220] 2017-11-09 14:00:55,335 - INFO - launcher: Checking console encoding
[357.236146927] 2017-11-09 14:00:55,336 - INFO - launcher: Setting console encoding to UTF-8
[357.737302780] 2017-11-09 14:00:55,337 - INFO - launcher: Ensuring we're in the right folder
[397.844552994] 2017-11-09 14:00:55,377 - INFO - launcher: Adding local bins/ folder to path
[398.345232010] 2017-11-09 14:00:55,377 - INFO - launcher: Checks passed.
[398.846626282] 2017-11-09 14:00:55,378 - INFO - launcher: Moving old musicbot log

######################### PRE-RUN SANITY CHECKS PASSED #########################

[24.6996574401855469] 2017-11-09 14:01:19,679 - DEBUG - musicbot.bot | In bot.py::MainThread(8716), line 542 in get_player: Created player via deserialization for server 199742567305183232 with 1 entries
[24.7001588344573975] 2017-11-09 14:01:19,679 - INFO - musicbot.bot | In bot.py::MainThread(8716), line 270 in _join_startup_channels: Joined brencorp/Music
[24.7006602287292480] 2017-11-09 14:01:19,680 - VOICEDEBUG - musicbot.player | In player.py::MainThread(8716), line 313 in websocket_check: Starting websocket check loop for brencorp
[24.7006602287292480] 2017-11-09 14:01:19,680 - FFMPEG - musicbot.player | In player.py::MainThread(8716), line 270 in _play: Creating player with options: -nostdin -vn audio_cache\youtube-lS7_tcwsj4E-Donkey_Kong_Country_OST_22_Gang-Plank_Galleon.webm
[24.7066762447357178] 2017-11-09 14:01:19,686 - DEBUG - musicbot.bot | In bot.py::MainThread(8716), line 760 in serialize_queue: Serializing queue for 199742567305183232
[31.1323230266571045] 2017-11-09 14:01:26,111 - INFO - musicbot.bot | In bot.py::MainThread(8716), line 2379 in on_message: 148356446935973888/[AU] IronWarZ#1217: !skip
[34.1986904144287109] 2017-11-09 14:01:29,178 - INFO - musicbot.entry | In entry.py::MainThread(8716), line 219 in _really_download: Download started: https://youtube.com/watch?v=xl7Hd2r0LOs
[35.9881582260131836] 2017-11-09 14:01:30,967 - INFO - musicbot.entry | In entry.py::MainThread(8716), line 226 in _really_download: Download complete: https://youtube.com/watch?v=xl7Hd2r0LOs
[36.1938230991363525] 2017-11-09 14:01:31,173 - FFMPEG - musicbot.player | In player.py::MainThread(8716), line 270 in _play: Creating player with options: -nostdin -vn audio_cache\youtube-xl7Hd2r0LOs-Wonderful_tonight_-_Eric_Clapton.webm
[36.1993374824523926] 2017-11-09 14:01:31,178 - DEBUG - musicbot.bot | In bot.py::MainThread(8716), line 760 in serialize_queue: Serializing queue for 199742567305183232
[36.6457171440124512] 2017-11-09 14:01:31,625 - DEBUG - musicbot.bot | In bot.py::MainThread(8716), line 888 in safe_delete_message: Cannot delete message "!skip", message not found
[43.4237627983093262] 2017-11-09 14:01:38,403 - INFO - musicbot.bot | In bot.py::MainThread(8716), line 2379 in on_message: 148356446935973888/[AU] IronWarZ#1217: !np
[49.1784031391143799] 2017-11-09 14:01:44,157 - DEBUG - musicbot.bot | In bot.py::MainThread(8716), line 888 in safe_delete_message: Cannot delete message "!np", message not found
[52.8657269477844238] 2017-11-09 14:01:47,845 - INFO - musicbot.bot | In bot.py::MainThread(8716), line 2379 in on_message: 148356446935973888/[AU] IronWarZ#1217: !clean
[69.1507797241210938] 2017-11-09 14:02:04,130 - DEBUG - musicbot.bot | In bot.py::MainThread(8716), line 888 in safe_delete_message: Cannot delete message "!clean", message not found
